DateKey,Year,Month,Quarter,MonthName,MonthYear,Semester,IsYearEnd
201001,2010,1,Q1,January,2010-01,H1,FALSE
201002,2010,2,Q1,February,2010-02,H1,FALSE
201003,2010,3,Q1,March,2010-03,H1,FALSE
201004,2010,4,Q2,April,2010-04,H1,FALSE
201005,2010,5,Q2,May,2010-05,H1,FALSE
201006,2010,6,Q2,June,2010-06,H1,FALSE
201007,2010,7,Q3,July,2010-07,H2,FALSE
201008,2010,8,Q3,August,2010-08,H2,FALSE
201009,2010,9,Q3,September,2010-09,H2,FALSE
201010,2010,10,Q4,October,2010-10,H2,FALSE
201011,2010,11,Q4,November,2010-11,H2,FALSE
201012,2010,12,Q4,December,2010-12,H2,TRUE
201101,2011,1,Q1,January,2011-01,H1,FALSE
201102,2011,2,Q1,February,2011-02,H1,FALSE
201103,2011,3,Q1,March,2011-03,H1,FALSE
201104,2011,4,Q2,April,2011-04,H1,FALSE
201105,2011,5,Q2,May,2011-05,H1,FALSE
201106,2011,6,Q2,June,2011-06,H1,FALSE
201107,2011,7,Q3,July,2011-07,H2,FALSE
201108,2011,8,Q3,August,2011-08,H2,FALSE
201109,2011,9,Q3,September,2011-09,H2,FALSE
201110,2011,10,Q4,October,2011-10,H2,FALSE
201111,2011,11,Q4,November,2011-11,H2,FALSE
201112,2011,12,Q4,December,2011-12,H2,TRUE
201201,2012,1,Q1,January,2012-01,H1,FALSE
201202,2012,2,Q1,February,2012-02,H1,FALSE
201203,2012,3,Q1,March,2012-03,H1,FALSE
201204,2012,4,Q2,April,2012-04,H1,FALSE
201205,2012,5,Q2,May,2012-05,H1,FALSE
201206,2012,6,Q2,June,2012-06,H1,FALSE
201207,2012,7,Q3,July,2012-07,H2,FALSE
201208,2012,8,Q3,August,2012-08,H2,FALSE
201209,2012,9,Q3,September,2012-09,H2,FALSE
201210,2012,10,Q4,October,2012-10,H2,FALSE
201211,2012,11,Q4,November,2012-11,H2,FALSE
201212,2012,12,Q4,December,2012-12,H2,TRUE
201301,2013,1,Q1,January,2013-01,H1,FALSE
201302,2013,2,Q1,February,2013-02,H1,FALSE
201303,2013,3,Q1,March,2013-03,H1,FALSE
201304,2013,4,Q2,April,2013-04,H1,FALSE
201305,2013,5,Q2,May,2013-05,H1,FALSE
201306,2013,6,Q2,June,2013-06,H1,FALSE
201307,2013,7,Q3,July,2013-07,H2,FALSE
201308,2013,8,Q3,August,2013-08,H2,FALSE
201309,2013,9,Q3,September,2013-09,H2,FALSE
201310,2013,10,Q4,October,2013-10,H2,FALSE
201311,2013,11,Q4,November,2013-11,H2,FALSE
201312,2013,12,Q4,December,2013-12,H2,TRUE
201401,2014,1,Q1,January,2014-01,H1,FALSE
201402,2014,2,Q1,February,2014-02,H1,FALSE
201403,2014,3,Q1,March,2014-03,H1,FALSE
201404,2014,4,Q2,April,2014-04,H1,FALSE
201405,2014,5,Q2,May,2014-05,H1,FALSE
201406,2014,6,Q2,June,2014-06,H1,FALSE
201407,2014,7,Q3,July,2014-07,H2,FALSE
201408,2014,8,Q3,August,2014-08,H2,FALSE
201409,2014,9,Q3,September,2014-09,H2,FALSE
201410,2014,10,Q4,October,2014-10,H2,FALSE
201411,2014,11,Q4,November,2014-11,H2,FALSE
201412,2014,12,Q4,December,2014-12,H2,TRUE
201501,2015,1,Q1,January,2015-01,H1,FALSE
201502,2015,2,Q1,February,2015-02,H1,FALSE
201503,2015,3,Q1,March,2015-03,H1,FALSE
201504,2015,4,Q2,April,2015-04,H1,FALSE
201505,2015,5,Q2,May,2015-05,H1,FALSE
201506,2015,6,Q2,June,2015-06,H1,FALSE
201507,2015,7,Q3,July,2015-07,H2,FALSE
201508,2015,8,Q3,August,2015-08,H2,FALSE
201509,2015,9,Q3,September,2015-09,H2,FALSE
201510,2015,10,Q4,October,2015-10,H2,FALSE
201511,2015,11,Q4,November,2015-11,H2,FALSE
201512,2015,12,Q4,December,2015-12,H2,TRUE
201601,2016,1,Q1,January,2016-01,H1,FALSE
201602,2016,2,Q1,February,2016-02,H1,FALSE
201603,2016,3,Q1,March,2016-03,H1,FALSE
201604,2016,4,Q2,April,2016-04,H1,FALSE
201605,2016,5,Q2,May,2016-05,H1,FALSE
201606,2016,6,Q2,June,2016-06,H1,FALSE
201607,2016,7,Q3,July,2016-07,H2,FALSE
201608,2016,8,Q3,August,2016-08,H2,FALSE
201609,2016,9,Q3,September,2016-09,H2,FALSE
201610,2016,10,Q4,October,2016-10,H2,FALSE
201611,2016,11,Q4,November,2016-11,H2,FALSE
201612,2016,12,Q4,December,2016-12,H2,TRUE
201701,2017,1,Q1,January,2017-01,H1,FALSE
201702,2017,2,Q1,February,2017-02,H1,FALSE
201703,2017,3,Q1,March,2017-03,H1,FALSE
201704,2017,4,Q2,April,2017-04,H1,FALSE
201705,2017,5,Q2,May,2017-05,H1,FALSE
201706,2017,6,Q2,June,2017-06,H1,FALSE
201707,2017,7,Q3,July,2017-07,H2,FALSE
201708,2017,8,Q3,August,2017-08,H2,FALSE
201709,2017,9,Q3,September,2017-09,H2,FALSE
201710,2017,10,Q4,October,2017-10,H2,FALSE
201711,2017,11,Q4,November,2017-11,H2,FALSE
201712,2017,12,Q4,December,2017-12,H2,TRUE
201801,2018,1,Q1,January,2018-01,H1,FALSE
201802,2018,2,Q1,February,2018-02,H1,FALSE
201803,2018,3,Q1,March,2018-03,H1,FALSE
201804,2018,4,Q2,April,2018-04,H1,FALSE
201805,2018,5,Q2,May,2018-05,H1,FALSE
201806,2018,6,Q2,June,2018-06,H1,FALSE
201807,2018,7,Q3,July,2018-07,H2,FALSE
201808,2018,8,Q3,August,2018-08,H2,FALSE
201809,2018,9,Q3,September,2018-09,H2,FALSE
201810,2018,10,Q4,October,2018-10,H2,FALSE
201811,2018,11,Q4,November,2018-11,H2,FALSE
201812,2018,12,Q4,December,2018-12,H2,TRUE
201901,2019,1,Q1,January,2019-01,H1,FALSE
201902,2019,2,Q1,February,2019-02,H1,FALSE
201903,2019,3,Q1,March,2019-03,H1,FALSE
201904,2019,4,Q2,April,2019-04,H1,FALSE
201905,2019,5,Q2,May,2019-05,H1,FALSE
201906,2019,6,Q2,June,2019-06,H1,FALSE
201907,2019,7,Q3,July,2019-07,H2,FALSE
201908,2019,8,Q3,August,2019-08,H2,FALSE
201909,2019,9,Q3,September,2019-09,H2,FALSE
201910,2019,10,Q4,October,2019-10,H2,FALSE
201911,2019,11,Q4,November,2019-11,H2,FALSE
201912,2019,12,Q4,December,2019-12,H2,TRUE
202001,2020,1,Q1,January,2020-01,H1,FALSE
202002,2020,2,Q1,February,2020-02,H1,FALSE
202003,2020,3,Q1,March,2020-03,H1,FALSE
202004,2020,4,Q2,April,2020-04,H1,FALSE
202005,2020,5,Q2,May,2020-05,H1,FALSE
202006,2020,6,Q2,June,2020-06,H1,FALSE
202007,2020,7,Q3,July,2020-07,H2,FALSE
202008,2020,8,Q3,August,2020-08,H2,FALSE
202009,2020,9,Q3,September,2020-09,H2,FALSE
202010,2020,10,Q4,October,2020-10,H2,FALSE
202011,2020,11,Q4,November,2020-11,H2,FALSE
202012,2020,12,Q4,December,2020-12,H2,TRUE
202101,2021,1,Q1,January,2021-01,H1,FALSE
202102,2021,2,Q1,February,2021-02,H1,FALSE
202103,2021,3,Q1,March,2021-03,H1,FALSE
202104,2021,4,Q2,April,2021-04,H1,FALSE
202105,2021,5,Q2,May,2021-05,H1,FALSE
202106,2021,6,Q2,June,2021-06,H1,FALSE
202107,2021,7,Q3,July,2021-07,H2,FALSE
202108,2021,8,Q3,August,2021-08,H2,FALSE
202109,2021,9,Q3,September,2021-09,H2,FALSE
202110,2021,10,Q4,October,2021-10,H2,FALSE
202111,2021,11,Q4,November,2021-11,H2,FALSE
202112,2021,12,Q4,December,2021-12,H2,TRUE
202201,2022,1,Q1,January,2022-01,H1,FALSE
202202,2022,2,Q1,February,2022-02,H1,FALSE
202203,2022,3,Q1,March,2022-03,H1,FALSE
202204,2022,4,Q2,April,2022-04,H1,FALSE
202205,2022,5,Q2,May,2022-05,H1,FALSE
202206,2022,6,Q2,June,2022-06,H1,FALSE
202207,2022,7,Q3,July,2022-07,H2,FALSE
202208,2022,8,Q3,August,2022-08,H2,FALSE
202209,2022,9,Q3,September,2022-09,H2,FALSE
202210,2022,10,Q4,October,2022-10,H2,FALSE
202211,2022,11,Q4,November,2022-11,H2,FALSE
202212,2022,12,Q4,December,2022-12,H2,TRUE
202301,2023,1,Q1,January,2023-01,H1,FALSE
202302,2023,2,Q1,February,2023-02,H1,FALSE
202303,2023,3,Q1,March,2023-03,H1,FALSE
202304,2023,4,Q2,April,2023-04,H1,FALSE
202305,2023,5,Q2,May,2023-05,H1,FALSE
202306,2023,6,Q2,June,2023-06,H1,FALSE
202307,2023,7,Q3,July,2023-07,H2,FALSE
202308,2023,8,Q3,August,2023-08,H2,FALSE
202309,2023,9,Q3,September,2023-09,H2,FALSE
202310,2023,10,Q4,October,2023-10,H2,FALSE
202311,2023,11,Q4,November,2023-11,H2,FALSE
202312,2023,12,Q4,December,2023-12,H2,TRUE
202401,2024,1,Q1,January,2024-01,H1,FALSE
202402,2024,2,Q1,February,2024-02,H1,FALSE
202403,2024,3,Q1,March,2024-03,H1,FALSE
202404,2024,4,Q2,April,2024-04,H1,FALSE
202405,2024,5,Q2,May,2024-05,H1,FALSE
202406,2024,6,Q2,June,2024-06,H1,FALSE
202407,2024,7,Q3,July,2024-07,H2,FALSE
202408,2024,8,Q3,August,2024-08,H2,FALSE
202409,2024,9,Q3,September,2024-09,H2,FALSE
202410,2024,10,Q4,October,2024-10,H2,FALSE
202411,2024,11,Q4,November,2024-11,H2,FALSE
202412,2024,12,Q4,December,2024-12,H2,TRUE
